symbol,threshold,position_frac,trade_count,cumulative_pnl,final_equity,mean_pnl,pnl_vol,sharpe,max_drawdown,mae
AAVEUSDT,0.0,0.01,3497,-767.21851522373,9232.781484776304,-0.21939334149949385,0.8274137379403284,-24.825696887789455,-770.5215530396945,0.008069712640797519
AAVEUSDT,0.0005,0.01,2924,-642.2079599286812,9357.792040071321,-0.21963336522868715,0.8397790430010525,-24.486911780643677,-644.353852580769,0.008069712640797519
AAVEUSDT,0.001,0.01,2223,-469.6006452197064,9530.399354780307,-0.21124635412492415,0.862052062149591,-22.943330453719735,-471.01398630117365,0.008069712640797519
AAVEUSDT,0.002,0.01,1507,-301.19735250146095,9698.80264749852,-0.19986552919804973,0.9100530133690612,-20.56231173281569,-302.5797959252359,0.008069712640797519
BNBUSDT,0.0,0.01,3497,-639.6180860413247,9360.381913958649,-0.18290480012620094,0.43584144922503104,-39.291382162592164,-639.9314901871458,0.0030653407632478683
BNBUSDT,0.0005,0.01,390,-73.02597724090296,9926.974022759105,-0.18724609548949478,0.6501691937382429,-26.964173668746753,-73.52084857460613,0.0030653407632478683
BNBUSDT,0.001,0.01,194,-34.25661633648326,9965.74338366352,-0.17658049657981062,0.7051403598429394,-23.445953214632702,-36.31305737229741,0.0030653407632478683
BNBUSDT,0.002,0.01,61,-7.243196502884339,9992.756803497121,-0.11874092627679243,0.7171331324499256,-15.502487066771774,-8.054453114187709,0.0030653407632478683
BTCUSDT,0.0,0.01,3497,-698.8729449622119,9301.127055037821,-0.19984928366091276,0.45283831944227404,-41.31998537079452,-698.8152755453175,0.003151339254403814
BTCUSDT,0.0005,0.01,602,-128.30980845118088,9871.69019154883,-0.21313921669631375,0.5331189797806505,-37.431734712312675,-128.5690803935522,0.003151339254403814
BTCUSDT,0.001,0.01,202,-51.22328345764706,9948.776716542361,-0.25358061117647057,0.6544573766158505,-36.27733790332713,-51.78111777845152,0.003151339254403814
BTCUSDT,0.002,0.01,75,-13.635784018204934,9986.36421598179,-0.1818104535760658,0.6958626166974261,-24.46223182465844,-16.109751504869564,0.003151339254403814
DOGEUSDT,0.0,0.01,3497,-701.8077088492429,9298.192291150754,-0.20068850696289472,0.6348823881088027,-29.595791250331967,-701.2742898166398,0.004758638068314844
DOGEUSDT,0.0005,0.01,2030,-396.8048110235268,9603.195188976502,-0.19547035025789497,0.6883225860697921,-26.58824083523775,-395.7065158544883,0.004758638068314844
DOGEUSDT,0.001,0.01,1487,-298.6125850354774,9701.38741496453,-0.20081545732042866,0.7096246893454391,-26.495319117477674,-302.514362570666,0.004758638068314844
DOGEUSDT,0.002,0.01,1200,-235.54850428610555,9764.4514957139,-0.1962904202384213,0.6995157685676646,-26.272556162955965,-242.6041179519234,0.004758638068314844
ETHUSDT,0.0,0.01,3497,-652.8126323078674,9347.187367692151,-0.18667790457760006,0.5917096369908685,-29.538266738919507,-652.7286807728942,0.004037626782773926
ETHUSDT,0.0005,0.01,1249,-241.58019818602693,9758.419801813989,-0.19341889366375256,0.650120042903904,-27.85518663457013,-241.36555003807553,0.004037626782773926
ETHUSDT,0.001,0.01,472,-90.91475648319789,9909.085243516796,-0.19261600949830063,0.7530791312469197,-23.94707649010588,-91.06019339554223,0.004037626782773926
ETHUSDT,0.002,0.01,197,-31.913731338107066,9968.086268661884,-0.16199863623404603,0.8539285894709725,-17.761945686298944,-32.047638623780585,0.004037626782773926
HYPEUSDT,0.0,0.01,2196,-407.8732618945363,9592.12673810545,-0.1857346365639965,0.9704736866758565,-17.918839068054556,-407.1784911280847,0.007813273618573792
HYPEUSDT,0.0005,0.01,1593,-274.83614984154013,9725.16385015842,-0.1725274010304709,1.061294582518425,-15.220287847662044,-274.427308571092,0.007813273618573792
HYPEUSDT,0.001,0.01,1169,-231.27674141231225,9768.723258587666,-0.1978415238770849,1.13123354421516,-16.374419293299695,-231.97601483252947,0.007813273618573792
HYPEUSDT,0.002,0.01,801,-170.18239170071342,9829.817608299292,-0.21246241161137755,1.2324305824488102,-16.140625954540383,-170.88771040373285,0.007813273618573792
INJUSDT,0.0,0.01,3497,-672.6567418737199,9327.343258126217,-0.192352514118879,1.0200501250971146,-17.655380706666374,-680.5396995458505,0.009322630248633654
INJUSDT,0.0005,0.01,2163,-411.4971700616893,9588.502829938314,-0.19024372171136814,1.046522030968736,-17.020122878468257,-413.03405956935785,0.009322630248633654
INJUSDT,0.001,0.01,1579,-298.6930483482222,9701.306951651784,-0.18916595842192666,1.0574867458212704,-16.748224954756797,-305.4765269473446,0.009322630248633654
INJUSDT,0.002,0.01,926,-178.64685302213462,9821.353146977874,-0.19292316741051255,1.0323467940533908,-17.496835280691965,-182.54476493394031,0.009322630248633654
KASUSDT,0.0,0.01,6196,-1094.0686546963548,8905.931345303738,-0.17657660663272348,0.8795223699550461,-18.796933708133178,-1093.6518548741751,0.006204992638098715
KASUSDT,0.0005,0.01,3018,-513.2646577466326,9486.735342253387,-0.17006781237462976,0.9781744448233505,-16.278206216693732,-520.9063614936695,0.006204992638098715
KASUSDT,0.001,0.01,1419,-261.2049407891077,9738.795059210888,-0.18407677293101318,1.066499225719482,-16.159919042866317,-275.1198761241576,0.006204992638098715
KASUSDT,0.002,0.01,434,-52.81877638733397,9947.18122361265,-0.12170224974040085,1.1893667033301578,-9.580398267182236,-62.66052534740993,0.006204992638098715
LINKUSDT,0.0,0.01,3497,-644.8714028654183,9355.128597134571,-0.18440703542047993,0.6337263213357387,-27.244351425917056,-646.3491063816309,0.0046591635788530514
LINKUSDT,0.0005,0.01,2204,-419.9982543801607,9580.001745619835,-0.1905618214066065,0.6544357316259586,-27.262747729634924,-421.6618048909677,0.0046591635788530514
LINKUSDT,0.001,0.01,1351,-270.1836484325687,9729.81635156744,-0.19998789669324107,0.7009499074868684,-26.712680101494158,-271.6877647680012,0.0046591635788530514
LINKUSDT,0.002,0.01,490,-70.21803912893739,9929.781960871062,-0.1433021206713008,0.8023740112403897,-16.721548662068283,-72.50867547534472,0.0046591635788530514
ONDOUSDT,0.0,0.01,2205,-447.4430528241502,9552.55694717585,-0.2029220194213833,1.141499081947118,-16.64387104461723,-451.17532329497044,0.008159481592089414
ONDOUSDT,0.0005,0.01,1565,-301.64830024559365,9698.351699754397,-0.19274651772881382,1.215816726417753,-14.842913615605065,-305.39356920611317,0.008159481592089414
ONDOUSDT,0.001,0.01,1033,-214.97654370025438,9785.023456299728,-0.2081089484029568,1.3216573669879206,-14.742549911076706,-217.99516964639406,0.008159481592089414
ONDOUSDT,0.002,0.01,603,-140.71039047812036,9859.289609521882,-0.23335056464033227,1.4286348365053012,-15.292847342075337,-142.6039270145211,0.008159481592089414
RENDERUSDT,0.0,0.01,3449,-649.639433296102,9350.360566703885,-0.18835588092087618,0.9435380238168894,-18.690482418087864,-655.5284754859749,0.006927751306714237
RENDERUSDT,0.0005,0.01,1629,-247.51703471677206,9752.482965283225,-0.15194415881938125,1.050289245992517,-13.544900641305468,-253.6928720323358,0.006927751306714237
RENDERUSDT,0.001,0.01,748,-108.05668329082252,9891.943316709181,-0.14446080653853277,1.1834824523331178,-11.428492442407997,-109.96349397000631,0.006927751306714237
RENDERUSDT,0.002,0.01,252,-17.93650624704555,9982.063493752936,-0.0711766120914506,1.3894740330268909,-4.796093162765477,-29.6274953708853,0.006927751306714237
SOLUSDT,0.0,0.01,3497,-596.8474182307282,9403.15258176925,-0.17067412588811215,0.6442517439180202,-24.803491408333837,-602.9352256136444,0.005415925161126702
SOLUSDT,0.0005,0.01,2885,-502.6494029376213,9497.350597062306,-0.1742285625433696,0.6521185788295008,-25.01459715792605,-511.12633521862153,0.005415925161126702
SOLUSDT,0.001,0.01,2304,-423.91799280785364,9576.08200719213,-0.1839921843784087,0.6631406033017188,-25.977328632202823,-429.6507812378368,0.005415925161126702
SOLUSDT,0.002,0.01,1767,-336.61833153613065,9663.381668463859,-0.19050273431586343,0.690920962257976,-25.81508607875583,-339.29630903188445,0.005415925161126702
SUIUSDT,0.0,0.01,3497,-657.9671934522814,9342.032806547693,-0.18815189975758692,0.8039109675062905,-21.91297721897826,-659.4338163184239,0.0058825051061444705
SUIUSDT,0.0005,0.01,2418,-450.77024582953845,9549.229754170443,-0.18642276502462302,0.8278054530881555,-21.084892705163096,-452.25780743493306,0.0058825051061444705
SUIUSDT,0.001,0.01,1558,-278.7727661807384,9721.227233819276,-0.17892988843436355,0.8893564419180842,-18.83682786605287,-279.75516599237926,0.0058825051061444705
SUIUSDT,0.002,0.01,638,-134.54135163985768,9865.458648360147,-0.21087986150447913,0.9487683795266286,-20.81017051295023,-136.11533090287412,0.0058825051061444705
